Jurisdicción,2017,2018,2019,2020,2021,2022,2023,2024
Buenos Aires,52324.0,55036,24714,4643,7033,142,4523,525.0
CABA,0.0,0,0,1,0,0,49,0.0
Catamarca,17385.0,7261,12035,30612,11177,13816,9417,5488.78
Chaco,3470.0,3896,3039,27882,2687,12189,1718,0.0
Chubut,2566.0,939,13289,6293,17841,80294,18854,10915.06
Córdoba,34010.0,8745,16602,153595,57026,4246,24454,87091.3
Corrientes,1443.0,21608,2464,45374,8897,88631,42881,21350.99
Entre Ríos,0.0,673,43,12768,26192,3186,4796,442.0
Formosa,5362.0,3119,14336,30317,18009,8207,30595,15390.5
Jujuy,1214.0,474,6018,37805,6043,18728,1757,2059.27
La Pampa,552902.0,704125,154177,42329,29738,119718,64366,9040.9
La Rioja,131535.0,1514,2071,2397,21138,36904,10438,24335.5
Mendoza,419147.0,75393,65022,33345,19006,45038,108198,11286.8
Misiones,246.0,323,1049,2200,1213,16050,42,107.0
Neuquén,5197.0,2328,21614,25878,5823,126,31,3141.3
Río Negro,347344.0,94805,99601,44540,29635,30680,30355,17048.8
Salta,7062.0,1093,2254,71870,4601,125112,7012,11251.78
San Juan,20056.0,16425,667,0,0,1321,4204,1087.74
San Luis,86842.0,100712,32278,57199,49314,120556,129186,70685.53
Santa Cruz,472.0,4482,3845,302,2263,3220,251,2.1
Santa Fe,0.0,749,116,315640,103,44138,136,0.0
Santiago del Estero,7109.0,105,3980,28978,1619,7283,4232,42.0
Tierra del Fuego,0.0,0,189,1,9,8200,23,61.97
Tucumán,886.0,6262,494,10190,3233,9437,3426,14908.62
